company_Id|product|product_price|company_state
cfcd208495d565ef|ketchup|55.520725|['MG', 'SP']
735b90b4568125ed|ketchup|54.174145|['SP', 'MG']
c45147dee729311e|ketchup|10.437455|['SP', 'PR']
57aeee35c9820509|ketchup|3.7429764|['RJ', 'MG']
7f100b7b36092fb9|ketchup|31.820082|['MG', 'BA']
ad13a2a07ca4b764|ketchup|28.209772|['BA', 'SP']
ffd52f3c7e12435a|ketchup|84.04055|['PR', 'PR']
69421f032498c970|ketchup|95.48431|['SP', 'PR']
a86c450b76fb8c37|ketchup|73.99703|['PA', 'SP']
eb6fdc36b281b7d5|ketchup|34.855362|['SC', 'SP']
4ffce04d92a4d6cb|ketchup|76.96022|['MG', 'TO']
eaae339c4d89fc10|ketchup|55.324295|['PR', 'PR']
3d2d8ccb37df977c|ketchup|72.603096|['PA', 'MG']
013a006f03dbc539|ketchup|1.0845125|['BA', 'SP']
301ad0e3bd5cb162|ketchup|64.474464|['RS', 'MG']
5ec91aac30eae62f|ketchup|2.9161718|['PR', 'PR']
d707329bece455a4|ketchup|100.51491|['MG', 'SC']
a1519de5b5d44b31|ketchup|58.42266|['PA', 'RJ']
0a0a0c8aaa00ade5|ketchup|48.596024|['RJ', 'SP']
7d771e0e8f3633ab|ketchup|83.199394|['RJ', 'SP']
b20bb95ab626d93f|ketchup|8.321118|['PA', 'BA']
17326d10d511828f|ketchup|47.518887|['TO', 'PA']
d82118376df344b0|ketchup|87.02745|['TO', 'PA']
9701a1c165dd9420|ketchup|59.595963|['MG', 'SP']
4e9cec1f58305645|ketchup|82.47379|['PR', 'BA']
9597353e41e6957b|ketchup|99.04452|['SP', 'PR']
7a6a74cbe87bc600|ketchup|78.12944|['SC', 'RS']
0731460a8a5ce162|ketchup|48.99787|['RS', 'RS']
cb79f8fa58b91d3a|ketchup|38.914974|['SC', 'RJ']
23d2e1578544b172|ketchup|21.105684|['PA', 'SC']
81b3833e2504647f|ketchup|82.20845|['SP', 'SP']
4ebd440d99504722|ketchup|52.935677|['SC', 'RS']
8cbd005a556ccd42|ketchup|17.037802|['MG', 'TO']
7fd804295ef7f6a2|ketchup|75.034355|['RS', 'SC']
87682805257e619d|ketchup|77.16808|['SP', 'SP']
f1748d6b0fd9d439|ketchup|63.77576|['RJ', 'BA']
a7789ef88d599b8d|ketchup|22.028374|['SC', 'RS']
e727fa59ddefcefb|ketchup|46.57013|['PA', 'RJ']
ccd45007df44dd0f|ketchup|11.266916|['RJ', 'RS']
1dba5eed8838571e|ketchup|56.268147|['PR', 'BA']
17eb7ecc4c38e470|ketchup|48.41505|['SC', 'RS']
ef72d53990bc4805|ketchup|28.223854|['BA', 'BA']
c922de9e01cba8a4|ketchup|30.320015|['SP', 'RS']
8832ae39136fb470|ketchup|100.53274|['PA', 'PA']
2131f8ecf18db66a|ketchup|49.16091|['RS', 'SP']
2be9bd7a3434f703|ketchup|59.92341|['SP', 'RJ']
98bd65207ee83bfd|ketchup|95.11183|['SP', 'SP']
2974788b53f73e79|ketchup|60.344734|['SP', 'SC']
d04d42cdf14579cd|ketchup|7.956237|['RS', 'TO']
8d7628dd7a710c86|ketchup|32.825348|['RS', 'SP']
db68512896941514|ketchup|92.80587|['BA', 'SC']
39ea40e164f970c5|ketchup|89.251175|['RJ', 'SP']
cd3bbc2d7ca1bbdc|ketchup|70.03505|['BA', 'MG']
cc58f7abf0b0cf2d|ketchup|10.497865|['BA', 'PA']
1625abb8e458a797|ketchup|0.11996329|['SP', 'BA']
fdeea652a89ec3e9|ketchup|16.246082|['SP', 'SP']
86dba86754c0ad93|ketchup|59.855183|['SC', 'RS']
8196e8d0f9ee7dfd|ketchup|91.21016|['RS', 'TO']
887a185b1a408019|ketchup|38.534065|['TO', 'SC']
8e1ad7941398486f|ketchup|85.868484|['MG', 'RS']
e02a35b1563d0db5|ketchup|19.529858|['SC', 'RS']
12ced2db6f0193dd|ketchup|5.0288496|['TO', 'BA']
e9ed9cad56c92652|ketchup|84.7206|['PA', 'RJ']
45e81409831b7740|ketchup|44.28993|['BA', 'MG']
f0f800c92d191d73|ketchup|34.14669|['SC', 'SP']
a0205b87490c8471|ketchup|6.3934755|['BA', 'MG']
1a77befc3b608d6e|ketchup|92.52994|['SC', 'PA']
c133fb1bb634af68|ketchup|32.062492|['TO', 'SP']
